a2-action-kernels-are-recursive	Every type [A_2] action has a recursive kernel, so every action image has solvable word problem
shell-germ-singular-ideal-is-the-boundary-annihilator	The local singular ideal of a shell germ algebra is the annihilator of the permutation module on the Schreier boundary of the germ group's near action
shell-germ-steinberg-algebra-is-finitely-presented	The germ-groupoid Steinberg algebra of a shell envelope is finitely presented as an F_2-algebra
shell-germ-steinberg-algebras-are-never-simple	The germ Steinberg algebra of every shell envelope has a nonzero proper singular ideal, so it is never simple, and the envelope survives in the units of the quotient
shell-one-point-groups-are-ascending-hnn-over-window-lifts	If the shell germ group has an ascending window in the direction of the V-germ, the one-point group A_1 is an ascending HNN extension of an explicit lift of that window, so A_1 has every finiteness property the lift has
shell-shift-admits-no-baumslag-solitar-conjugation	A near permutation that the shell shift conjugates to a proper power is near trivial, and a shift-stable near group has finitely many orbits
shift-similar-germ-groups-are-ascending-hnn-extensions	For any infinite shift-similar G, the extended germ group is the ascending HNN extension of Germs(G) by the shift, H_n(G)/FSym is its index-zero power, and it has type F_min(m,n-1) when Germs(G) has type F_m; strong shift-similarity is exactly two-sidedness of the index character in Sigma^1
simple-groups-on-trees-b1-zero-proof	Simplicity rules out acylindrical hyperbolicity, so every two vertices have an infinite common stabilizer; Peterson-Thom then kills the first L2-Betti number
simple-groups-on-trees-with-fg-edge-groups-have-b1-zero	A finitely generated simple group acting on a tree without a fixed point has s-normal edge stabilizers of infinite index, so its first L2-Betti number vanishes as soon as one edge stabilizer is finitely generated
simple-inputs-have-finitely-presented-stabilizer-engines	For every infinite finitely generated simple group S with solvable word problem, the derived full group of Z/2 * S on its compactified Bass–Serre tree is finitely presented
simple-inputs-in-wobbling-hosts-are-dense-schreier-realizations	An infinite simple group lies in the full group of a free Λ-subshift, faithfully on every invariant subset, iff one of its nontrivial Schreier quotients has a coarsely dense injective Lipschitz realization in Λ, and the subshift is then effectively closed from WP(G) alone
simple-kazhdan-germ-extension-germ-group-proof	Specialize the FW germ reduction to a simple input, rule out the V-local part by Haagerup, and read off finite presentation from the SingFix lemma
simple-kazhdan-in-germ-extension-of-v-sits-in-one-germ-group	An infinite simple Kazhdan subgroup of a finite germ extension of V embeds in a single singular isotropy germ group, which is finitely presented whenever Belk--Hyde--Matucci Theorem 2.1 certifies finite presentation
simple-subgroups-act-trivially-on-equicontinuous-factors	A minimally almost periodic subgroup, e.g. an infinite f.g. simple group, acts trivially on the maximal equicontinuous factor of every minimal action; so free minimal actions of groups containing one are never almost automorphic, and functional couplings of almost-automorphic transverse layers kill it
simplicity-of-finite-presentations-arithmetical-position-proof	Count quantifiers in the definition of simplicity, reduce triviality to it through V × G, and bound Kuznetsov's searches
simplicity-of-finite-presentations-arithmetical-position	Simplicity of finite presentations lies in Pi^0_2 and is Sigma^0_1-hard, and it drops to Delta^0_2 if Kuznetsov profiles of finitely presented simple groups are uniformly recursively bounded
single-configuration-check-mark-group-is-lift-presented-proof	Separator sections are powers of A, and inside a block only constant rays keep a word stable; there it is a word in two commuting elements
single-configuration-check-mark-group-is-lift-presented	The one-configuration layer of the Wächter–Weiß check-mark automaton is non-contracting and of exponential activity, yet its relator kernel is the lift ideal of two commutators, so its V_3 is finitely presented
small-cancellation-groups-realize-every-wp-complexity	Two-generator classical C'(1/6) groups with solvable word problem realize every recursive word-problem complexity, so no single decidable group contains them all
smart-level-zero-return-map-has-free-divergence	SMART's level-0 return map has free divergence at every point, so neither it nor any finite skew-product decoration factors onto the ternary valuation Toeplitz subshift
smart-renormalization-admits-no-graded-basins	SMART's height-3 renormalization cannot be graded, even after any finite skew-product decoration, so it does not yield the ternary Toeplitz factor that would put a periodic group in 2V
smart-trace-full-group-embeds-in-brin-thompson-2v	The topological full group of the SMART trace subshift embeds in Brin's 2V, so a Juschenko-Monod group (finitely generated, infinite, simple, amenable) lies in a finitely presented simple group
solvable-bs-faithful-witness-proof	The HNN extension of BS(1,m) along a^p -> a^q, s -> s has trivial tree kernel because q/p is not a unit of Z[1/m]
solvable-bs-groups-have-faithful-generalized-bs-witnesses	For |m| >= 2 the solvable Baumslag--Solitar group BS(1,m) has a faithful generalised Baumslag--Solitar witness, so every group in BS_{BS(1,m)} embeds in a simple group of type F_infinity
some-a2-action-has-a-nonrecursive-kernel	Some type [A_2] action has a kernel that is not recursive, so its action image has unsolvable word problem
some-fp-simple-group-has-an-infinite-bounded-exponent-subgroup	Some finitely presented simple group contains an infinite finitely generated subgroup of bounded exponent
some-hyperbolic-group-embeds-in-no-brin-thompson-group	Some hyperbolic group embeds in no Brin-Thompson group nV
some-nonexact-group-has-a-type-a-action	Some non-exact group admits an action of type (A)
some-nv-element-has-a-graded-height-3-renormalization	Some element of some Brin–Thompson group nV has an invariant clopen set with a height-3 self-renormalization that cycles a clopen 3-colouring
spherical-artin-bh-via-decorated-garside-odometer-groups	Finite-type Artin groups embed in the simple commutator subgroup of an F_infinity decorated Garside odometer full group
spherical-artin-groups-satisfy-boone-higman	Every spherical-type Artin group embeds in a finitely presented simple group
spherical-artin-groups-satisfy-permutational-boone-higman	Every spherical-type Artin group lies in the permutational Boone--Higman class
spinal-extensions-of-lift-presented-groups-satisfy-boone-higman	Adding to a lift-presented automaton new states that loop along a commonly fixed letter and have base sections elsewhere gives a group with a lift-presented action, hence a Boone–Higman group
spine-and-odometer-mover-generate-a-2-adic-lamplighter	A spine of Grigorchuk states plus a recurrent odometer that moves the spine letter generates, beside a contracting group, a 2-adic lamplighter with Grigorchuk lamps, which is exactly what blocks compression along finitely many rays
spine-grigorchuk-automaton-group-has-a-bounded-action	The spine-Grigorchuk group, whose three-letter Nekrashevych group is not finitely presented, has a bounded action on four letters, so it satisfies Boone–Higman through a self-similar host
spine-hosts-reduce-to-fp-rf-overgroups-of-the-lamp	Germ groups at stable rays are the loop subgroups, so every lift-presented automaton group has finitely presented loop subgroups; a separated automaton group is LP-embeddable once its base lies in a finitely presented subgroup of a lift-presented automaton group, and for spine groups every same-tree lift-presented overgroup forces this
spine-mover-automata-over-fp-bases-are-lift-presented	The spine-plus-odometer-mover automaton over a finitely presented self-similar group is lift-presented, so the recurrent-mover test case reduces to a finitely presented self-similar overgroup of its lamp group
square-spiral-z2-enumeration-is-ball-rigid	The square-spiral enumeration of Z^2 is ball-rigid, since its far Schreier balls determine it from a finite seed; ball-transplant flexibility therefore cannot kill every one-ended input
stabilized-kgraph-full-group-clopen-action-proof	Refining cylinder decompositions spreads every clopen set over its whole strongly connected piece, the Cuntz colour then equalizes counts, and that comparison gives a type (A) action on clopen sets
stabilized-kgraph-full-groups-have-type-a-actions	After stabilizing by the Cuntz groupoid, the topological full group of a loop-rich finite higher-rank graph acts on clopen sets with type (A), so the original full group lies in the type (A) class
stationary-vershik-maps-generate-contracting-rsgs-proof	Vershik maps have one singular point, their singular germs never stack, so the generated group has a finite nucleus
stationary-vershik-maps-generate-contracting-rsgs	The Vershik map of a stationary properly ordered Bratteli diagram with strongly proper read substitution is rational, and together with the Thompson group it generates a contracting rational similarity group
stein-complex-elementary-intervals-are-grid-spheres	An elementary interval of the twisted Brin--Thompson poset is a homotopy sphere of dimension e − 2 when every tree is a full brick split in e colors in total, and is contractible otherwise
stein-derived-groups-need-computable-modules-proof	A Stein group contains the interval exchange group of every irrational ratio in its module, and that group's derived subgroup decides the Sturmian language
stein-derived-groups-need-computable-modules	If the derived Stein group D(V(Γ,Λ,ℓ)) has solvable word problem on its finitely generated subgroups, every ratio γ/ℓ with γ in Γ is a computable real; so irrational-slope Thompson groups with noncomputable slope have 2-generated simple derived subgroups with unsolvable word problem
stein-elements-with-hyperbolic-periodic-points-bound-roots	In a Stein interval-exchange group, an element with a hyperbolic periodic point has roots of only finitely many orders, so copies of Q or BS(1,m) consist of elements without hyperbolic periodic points
stein-interval-grid-sphere-proof	Map the open interval to the poset of nonempty sets of atoms and apply Quillen's fiber lemma
stein-v-groups-act-with-type-a-on-breakpoints-proof	Interval exchanges make the breakpoint action 2-transitive, and a point stabilizer is generated by one shorter-interval V-group and one germ contraction
stein-v-groups-act-with-type-a-on-breakpoints	A finitely presented Stein V-group whose shorter-interval versions are finitely generated acts with type (A) on its breakpoint set, so all its subgroups satisfy Boone--Higman; its quadratic (norm −1) instance is subsumed by the Pisot RSG route; norm +1 slopes are open (corrected 09-18)
steinberg-groups-of-r-l-are-quasisimple-proof	Pull root detection back along a central Steinberg map, then read the centre as the Schur multiplier
steinberg-groups-of-r-l-are-quasisimple	St_N(R_L) is quasisimple for every N >= 3, with centre H_2(PE_N(R_L)) not finitely generated and H_2(E_N(R_L)) = Q^x; every GL_n(Q) embeds in St_10(R_L) missing the centre, hence in the simple group PE_10(R_L)
steinberg-simple-quotients-of-q-rings-reduce-to-pe-n	Simple quotients of St_N(R) reduce to PE_N(R/I) under central unstable K_2 and the sandwich property; injective stability forces central K_2, so for Leavitt-type rings containing Q a finitely presented simple Steinberg quotient needs U_N ≠ 0 or a non-simple PE_N
strand-map-bases-lift-only-bounded-displacement-letters	Over a base of eventual strand maps such as H_n(E_2), the lifting criterion certifies a rho-letter only if the enumeration gives it eventually periodic displacement, so over that base it reaches only virtually cyclic inputs
strongly-regular-building-elements-are-opposition-proximal	Strongly regular hyperbolic automorphisms of locally finite Euclidean buildings contract the chambers opposite their repelling chamber uniformly on compacta
strongly-regular-opposition-proximality-proof	Proof that chambers at infinity of a locally finite Euclidean building carry an open dense opposition relation on which strongly regular elements contract uniformly
strongly-shift-similar-point-stabilizers-are-copies-of-the-group	In a strongly shift-similar group every point stabilizer, and every pointwise stabilizer of a finite set, is isomorphic to the group itself
strongly-shift-similar-type-f-m-passes-to-houghton-like-groups	If a strongly shift-similar group G is of type F_m then every Houghton-like group H_n(G) is of type F_m, for all n >= 1 (Mallery-Zaremsky Question 5.13 for strongly shift-similar G)
subshift-full-groups-give-infinite-order-twisted-near-shells	The topological full group of a minimal subshift acts on a forward orbit ray with the shift as an element, giving infinite-order twisted near actions of the index kernel
subshift-languages-give-monomial-algebras-in-crossed-products	Pattern-conditioned translations realize the monomial algebra of a subshift's language inside its crossed product, with no cancellation; so the monomial benchmark A_X lies in LC(Y,F_2) ⋊ Z for the S-gap shift, with complexity carried by the language alone
substitution-subshift-full-groups-satisfy-boone-higman-proof	Stationary Bratteli--Vershik model, then the Vershik map in a contracting RSG, then the BBMZ host
substitution-subshift-full-groups-satisfy-boone-higman	The topological full group of every primitive aperiodic substitution subshift embeds in a finitely presented simple group
substitution-subshifts-have-stationary-bv-models-citation	Durand--Host--Skau Propositions 8 and 20, Lemmas 9 and 15, plus telescoping
substitution-subshifts-have-stationary-bv-models	Every primitive aperiodic substitution subshift is a Vershik map on a stationary properly ordered Bratteli diagram whose read substitution has constant first and last letters and all images of length at least 2
subsurface-mapping-class-groups-are-undistorted	A cleanly embedded subsurface with no annular complementary components has an undistorted mapping class group
subsurface-mcg-undistorted-citation	Import the subsurface quasi-isometric embedding from Rafi--Schleimer Remark 8.3
supersolvable-arrangement-groups-lie-in-the-pbh-class-proof	Climb Terao's tower; rank-one fibres split off Z and fibres of rank at least two are absorbed by free-kernel permanence
supersolvable-arrangement-groups-lie-in-the-pbh-class	The fundamental group of the complement of every supersolvable (fiber-type) complex hyperplane arrangement lies in B_A and embeds in a finitely presented simple group
support-constraints-on-v-subgroups-cannot-see-one-endedness	Free subgroups of PSL_2(Z) in Thompson's T satisfy every support and attractor constraint on main with full supports, so a surface-group obstruction in V must use one-endedness; finite attractor orbits force a normal subgroup trivial near the attractor
surface-generalized-bs-groups-satisfy-boone-higman-proof	Feed the quaternion-lattice witness into Bux–Llosa Isenrich–Wu Theorem 11.1
surface-generalized-bs-groups-satisfy-boone-higman	Every generalized Baumslag–Solitar group over a closed hyperbolic surface group, in particular every surface-by-(virtually free) group, embeds in a simple group of type F_∞
surface-group-atoms-are-wall-arrangement-cells	For a closed surface group with the regular 4g-gon side-pairing generators, the atoms of the n-ball are the cells of a finite arrangement of tiling walls, the horofunction boundary has no isolated points, and no cell is a half-plane
surface-group-atoms-wall-cells-proof	Counting separating walls turns distance profiles on B_n into side vectors for the walls in 𝒲_n; small walls near every ideal point give branching, and every wall of the arrangement is crossed by another wall of it at the corner of its nearest tile
surface-groups-have-faithful-generalized-bs-witnesses-proof	The norm-one group of a Z[1/5]-order in an indefinite division quaternion algebra is a faithful surface-type tree lattice
surface-groups-have-faithful-generalized-bs-witnesses	For a closed hyperbolic surface group G, some nontrivial group in BS_G acts faithfully on its Bass–Serre tree, namely an S-arithmetic quaternion lattice
surface-word-stabilizers-have-infinitely-many-double-cosets	The stabilizer in Out(F_2g), g at least two, of the conjugacy class of a one-cusp surface word has infinitely many double cosets, so no subgroup virtually contained in it is a point stabilizer of a type (A) action
symplectic-leavitt-swindle-proof	The hyperbolic image of the elementary Leavitt matrix conjugates two commuting copies of Sp_2g(Z) onto one, so the class equals twice itself in H_2; a central extension with zero pulled-back class splits and a perfect group maps trivially to its kernel
synchronous-cores-in-out-v-have-order-at-most-two-proof	A synchronous synchronizing core is a sliding block code with no anticipation, and so is its inverse, so time reversal makes it a one-sided shift automorphism
synchronous-cores-in-out-v-have-order-at-most-two	An element of Out(V) whose core transducer is synchronous is trivial or the bit flip, so every element of order at least three is asynchronous
tame-power-conjugator-proof	The power conjugator permutes the hyperbolic points of a, cannot be periodic near them, and pulls backward orbits into a compact band of a's wandering set; equal hyperbolic sets would make those backward orbits accumulate on both sides at once
tame-power-conjugators-have-more-hyperbolic-points	If tame homeomorphisms a, b of a perfect compactum satisfy b a b^-1 = a^k with |k| >= 2 and a of infinite order, then b has strictly more hyperbolic periodic points than a; so Baumslag--Gersten and Higman groups have no action in which the relevant generators are tame and of infinite order
telescope-fixed-points-are-singular-on-a-parse-shift	The self-simulation equation θ = (s on the first annulus, θ on every deeper annulus) has a unique homeomorphic solution θ_s for every seed s; θ_s is a two-state transducer when s ∈ V, fixes the parse shift of never-terminating hierarchies, is singular on all of it, and carries the whole seed group in its germs at every point of it
telescope-fixed-points-parse-shift-proof	Proof that the self-simulation equation has the unique solution θ_s, a finite-state map singular exactly on the parse shift plus copies of Sing(s), carrying the seed in every germ over the parse shift
telescopic-germ-bases-dynamically-v-separated-proof	Proof of the telescope calculus, of the necessity of dynamical V-separation, and that self-simulating finite germ extensions of V dissolve into V
telescopic-germ-bases-in-v-germ-extensions-are-v-separated	Telescopes (a group acting on every annulus around a point through the orbit of one endomorphism) have germ group (P/K_∞)*σ; inside a finite germ extension of V a faithful telescopic germ base is exactly a dynamically V-separated group, and a self-simulating finite germ extension of V simulates only subgroups of V
thick-building-flat-sfts-are-never-quantum-rigid	The apartment (flat) subshift of a torsion-free lattice in a thick Euclidean building, Mozes-type product-of-trees tilings included, branches across every wall, so it is never quantum rigid and its crossed product is never finitely presented
thick-building-flat-sfts-never-quantum-rigid-proof	Exchange the half-apartment beyond each wall of a thick slab independently; unique lifting in the quotient keeps the two changes visible
thin-rational-actions-finite-germ-extension-proof	Proof that thinness and clopen transitivity give the three Belk--Hyde--Matucci axioms for a finite germ extension
thin-rational-actions-give-finite-germ-extensions	Thin generators plus clopen transitivity give condition (E1): the group generated by a boundary Thompson group and a rational action is a finite germ extension with countable, eventually periodic singular set
thompson-f-exact-via-amenable-full-groups	F is a subgroup of V, the topological full group of the amenable Cuntz groupoid
thompson-group-f-is-exact	Thompson's group F is exact (equivalently T is exact, by Scarparo)
thompson-t-mixed-identities-are-not-finitely-normally-generated	The mixed identities of Thompson's group T are not finitely normally generated in T * F_n for any n, answering BFFHZ Question 3.3 negatively
thompson-t-mixed-identities-not-fng-proof	Mixed identities of T hold for all maps with small generic support, V breaks one at every scale, so no finite set normally generates them
thompson-v-binary-shell-action-passes-both-germ-gates	Thompson's group V acting on N by binary prefix replacements has near group the odometer Röver–Nekrashevych group, so its genuine-action shell passes both germ gates
three-tree-lattice-kernel-commutation-proof	Kernels on different factors commute modulo their intersection, and commuting normal subgroups cannot both act nontrivially on a thick tree, so some pairwise intersection survives
three-tree-lattices-escape-only-via-discrete-normal-subgroups	A three-tree lattice outside the type (A) class is irreducible and has an infinitely generated normal subgroup acting on a single factor, whose image is a nontrivial discrete normal subgroup of that factor's closure
thumann-operad-groups-need-only-f-infinity-transformations	In Thumann's finiteness theorem for operad groups, the hypothesis that the transformation groupoid is of type F-infinity-plus can be weakened to type F-infinity
time-lift-actors-carry-no-complexity-beyond-row-language	A finitely generated group of automorphisms of a subshift has word problem primitive recursive in the subshift's language, so in time-lift designs the acting input's complexity must already sit in the language of the space SFT, and no language-bounded family of space SFTs serves all inputs
titz-witzel-kernel-elements-are-nowhere-domestic-at-infinity	No nontrivial element of a Titz Mite--Witzel kernel maps an open set of chambers at infinity to non-opposite chambers
titz-witzel-lattices-pbh-via-euclidean-building-lattices	The Titz Mite–Witzel lattices are uniform lattices on locally finite thick C̃₂ buildings, so the Euclidean building lattice theorem puts them in B_A
titz-witzel-lattices-satisfy-permutational-boone-higman	The non-residually-finite Titz Mite--Witzel C2-tilde lattices satisfy permutational Boone--Higman
topologically-free-subshift-full-groups-force-quantum-rigidity	The necessity theorem holds for topologically free actions, so a finitely presented V-stabilized full group forces quantum rigidity and finite type of any topologically free subshift
torelli-lower-central-quotients-are-not-residually-finite	For g >= 3 and c >= 2 the Kazhdan groups Mod(S_g)/T_g[c+1] are not residually finite; up to a finite central kernel they contain a group commensurable with a Deligne lattice over Sp_2g(Z)
torelli-lower-central-quotients-do-not-virtually-split	For g >= 3 and c >= 2 the Torelli lower-central quotient Mod(S_g)/T_g[c+1] does not split over any finite-index subgroup of Sp_2g(Z), even modulo a finite subgroup
torelli-lower-central-quotients-have-solvable-word-problem	Every Torelli lower-central quotient Mod(S_g)/T_g[c+1] (g >= 3, c >= 1) has solvable word problem
torelli-lower-central-quotients-not-rf-proof	Proof that the Torelli lower-central quotients Mod(S_g)/T_g[c+1] (g >= 3, c >= 2) are not residually finite, via Hain's central line and Deligne's theorem
torelli-lower-central-quotients-satisfy-boone-higman	The Torelli lower-central quotients Mod(S_g)/T_g[c+1] (g >= 3, c >= 2), non-linear non-residually-finite Kazhdan groups, embed in finitely presented simple groups
torsion-free-isotropy-leavitt-tensor-hosts-have-trivial-k1-k2	If every finite subgroup of a finitely generated group acts freely on a compact zero-dimensional space, the Leavitt tensor of the binary crossed product has trivial K_1 and K_2
torsion-free-tree-lattices-embed-in-fp-kgraph-full-groups	A torsion-free cocompact lattice on a product of thick leafless trees embeds in the topological full group of a finite higher-rank graph with two loops of every colour at every vertex, which is of type F_infinity
torsion-subgroups-of-almost-v-groups-localize-at-singular-germs	A finitely generated torsion group of Cantor homeomorphisms that are locally in V off finite sets either has infinite orbits on its singular support, or is locally-finite-by-(germs at finitely many fixed points); an infinite simple one then embeds in a single singular germ group
train-track-split-cones-have-least-common-descendants	Split descendants of a complete train track have least common descendants, so their carried cones form a right-LCM cylinder family
train-track-split-cones-least-common-descendants-proof	Proof that split descendants of a complete train track have least common descendants
train-track-trace-groupoid-hosts-closed-mcg	The groupoid of train-track splitting traces of a closed surface has a finitely presented full clopen-transitive group containing a finite-index subgroup of its mapping class group
transcendental-slope-thompson-groups-have-hard-word-problems	A rotation commutator in D(V_λ) reads off the Sturmian word of λ, so for every recursive time bound some computable Liouville slope λ gives a 2-generated simple D(V_λ) with solvable word problem beyond that bound
transcendental-slope-thompson-groups-satisfy-boone-higman	For computable transcendental λ in (0,1), the derived irrational-slope Thompson group D(V_λ), a 2-generated simple group with solvable word problem that is not finitely presented, embeds in a finitely presented simple group
translation-like-hosts-are-capped-by-separation-profiles	Translation-like realizations over a fixed group are capped by growth and separation profile, so no fixed hyperbolic or amenable-growth host is universal, and decidable monsters need non-free orbits or a finitely presented Farrell–Jones group containing expanders
translation-like-inputs-embed-in-full-groups-over-a-fixed-group	If a decidable group acts translation-like on a fixed group Λ, it embeds in the topological full group, hence the crossed-product units, of an effectively closed free Λ-subshift whose language encodes its word problem
transvections-are-single-carets-of-the-edge-split-operad	Every elementary transvection acts on the rational Cantorization as a single edge-split caret on each orthant, so the general linear group lies in the Thompson-like group of the one-generator edge-split operad
tree-by-complex-lattices-with-faithful-tree-factor-satisfy-pbh	A uniform lattice in Aut(T) × Aut(Y) that acts faithfully on the tree T lies in B_A; in particular the Amir–Lazarovich lattices satisfy the permutational Boone–Higman property
tree-compatible-fixed-base-enumerations-have-infinite-index	If the input generators act by automorphisms of the boundary tree, the near shift group of a fixed-base enumeration has infinite index in the odometer Nekrashevych group, and the normal-form enumeration of C_2*C_3 is such a case
tree-compatible-fixed-base-infinite-index-proof	Odometers are tree automorphisms, and a finite-index subgroup of B contains the simple group V_(h,r)', which contains non-automorphisms
tree-lattice-block-splitting-proof	The kernel of a discrete sub-product is cocompact on the complement, its normalizer there is discrete, and faithfulness makes the two kernels commute and intersect trivially
tree-lattice-kgraph-power-phase-proof	Build the cube k-graph, get loops from non-backtracking closed walks in a power, and absorb the Busemann lag modulo N into a phase coordinate
tree-lattice-with-torsion-via-zappa-szep-kgraphs	Replace the free cube k-graph by a transported one with the finite germ groupoid of cube stabilizers acting self-similarly, then run the power, phase and stabilization steps unchanged
tree-lattices-split-into-irreducible-blocks	A faithful cocompact lattice on a product of leafless trees is virtually the direct product of irreducible blocks, one for each piece of a partition of the factors
triangle-free-all-3-artin-groups-satisfy-pbh-proof	Cone the graph with hub labels 3; every coned maximal clique is an edge coned to the Euclidean triangle (3,3,3) or a vertex coned to A_2
triangle-free-all-3-artin-groups-satisfy-pbh	Every Artin group whose defining graph is triangle-free with all edge labels 3, e.g. the all-3 four-cycle, lies in the permutational Boone--Higman class and embeds in a finitely presented simple group
triangle-permutive-sfts-have-one-sided-total-faults	Triangle-permutive Z^2 subshifts are Latin controlled-permutation RPCA spacetimes whose faults are one-sided and total, so a free one needs quadratic row complexity and two non-injective transversal automata
twice-punctured-torus-mcg-is-continuous-automatic	The mapping class group of the twice-punctured torus is continuous automatic, given the Birman--Hilden identification with the five-punctured sphere
twisted-brin-thompson-global-twists-are-conjugacy-closed	In a twisted Brin--Thompson group the global twists are conjugacy-closed, so SV_G adds no conjugacies to its actor, and an HNN input whose base sits in the global twists needs a base-faithful image of itself inside the actor
twisted-brin-thompson-groups-embed-along-equivariant-inclusions	A twisted Brin-Thompson group SV_G embeds in S'V_G' whenever G <= G' acts faithfully on a G-invariant subset S of S'
twisted-brin-thompson-groups-quasi-retract-onto-acting-group	A finitely generated twisted Brin--Thompson group SV_G quasi-retracts onto G, so G is undistorted in SV_G
twisted-brin-thompson-labels-are-rigid	In a twisted Brin–Thompson group SV_G whose actor has no finitary elements, branch labels form a well-defined cocycle, and conjugacy classes of G do not fuse in SV_G
twisted-brin-thompson-type-fn-criterion	For a faithful action, the twisted Brin--Thompson group SV_G is of type F_n exactly when the action is of type (A_n), which proves the Belk--Zaremsky conjecture
twisted-brin-thompson-type-fn-implies-type-an	If a twisted Brin--Thompson group SV_G is of type F_n, then G acting on S is of type [A_n], and likewise for FP_n and [HA_n]
twisted-bt-of-full-contracting-rsg-inherits-f-n-from-rsg-family	The twisted Brin-Thompson group of a full contracting RSG is of type F_n as soon as the full RSGs with the same nucleus on clopen subsets are, and only if the RSG itself is; so a yes to BBMZ Question 1.2 would give every hyperbolic group an undistorted embedding in a simple group of type F_infinity
twisted-bt-quasi-retract-onto-acting-group-citation	Import the Belk--Zaremsky quasi-retraction of SV_G onto G
twisted-bt-type-fn-interval-filtration-proof	Filter the Stein sublevel complex by interval length, keep only grid intervals, and run a homological Brown criterion for filtered complexes
twisted-bt-type-fn-necessity-citation	Import FFWZ Definition 1.3, Proposition 4.17 and Corollary 4.18
twisted-genuine-shell-actions-pass-both-germ-gates	If the shift twists a genuine shell action by an injective endomorphism, the near group is the ascending HNN extension and both germ gates pass with window zero
twisted-integral-affine-brin-thompson-group-is-simple	The twisted integral-affine Brin-Thompson group W on Z_2^D is simple
twisted-integral-affine-full-group-is-finitely-presented	The twisted integral-affine Brin-Thompson group W on Z_2^D is finitely presented and simple, and contains every GL_n(Z)
twisted-integral-affine-group-fp-via-stein-complex	Zaremsky's type (A) finite-presentation proof, transferred to halving directions, shows the twisted integral-affine group W is finitely presented
twisted-s-integral-affine-groups-are-fp-and-virtually-simple	For finite P and a prime l not in P, the twisted Z[1/lP]-affine group W_(P,l) on Z_l^D is finitely presented, with simple commutator subgroup of finite index containing every GL_n(Z[1/P])
two-counter-kms-top-has-no-affine-self-similar-action	For K >= 2 the KMS top factor R_K semidirect U_K has no faithful self-similar affine action with its lamps as translations, on any p^d-ary tree and with arbitrary non-Toeplitz corners
two-dim-cat0-product-groups-are-torsion-locally-finite	A group acting with finite point stabilizers on a finite product of 2-dimensional CAT(0) triangle complexes and trees is torsion locally finite, so the finitely presented simple Kac–Moody lattices with 2-dimensional buildings contain no infinite finitely generated periodic group
two-dim-cat0-product-groups-torsion-lf-proof	A finitely generated torsion group fixes a point in each 2-dimensional CAT(0) factor (Norin–Osajda–Przytycki) and each tree factor (Serre), so it lies in a finite point stabilizer
two-leaf-graph-manifold-twist-realizations	For a graph manifold with two leaf blocks, fibering means parallel boundary words in the JSJ torus; in a mapping class group realization whose JSJ torus goes to a two-curve twist group, each fiber is a single twist power, point pushing on both sides gives only fibered manifolds, and a non-virtually-fibered example needs one block with a new boundary slope ratio
two-radix-host-meets-the-fp-ray-conditions-except-realizability	The two-radix odometer host is a finitely presented near group on N with the shift, a finitely generated non-virtually-abelian index kernel and infinite supports, but its index kernel is not realizable
two-radix-odometer-host-is-f-infinity-with-fg-charge-kernel	The two-radix odometer full group on the two-root Cantor set is of type F_infinity, and its near-index kernel is finitely generated
two-sided-coset-sft-cyclic-descent-collapse-proof	Conjugate-short pairs have close lifts; cyclic descent is local, hence occurs inside every long linear word, and the tail frame turns it into distance descent from a ball
two-sided-free-group-coset-sfts-collapse-under-cyclic-descent	Over F_2 × F_2 acting on F_2 two-sidedly, quantum families commute on conjugate-short pairs for free, but any local determinism giving cyclic-length descent forces the subshift to be finite
type-preserving-vertex-free-a2-groups-embed-in-fp-simple-groups	Every group acting freely, type-preservingly and with finitely many orbits on the vertices of a thick Ã₂ building embeds in a finitely presented simple group, through the period-3 Robertson–Steger 2-graph restricted to phase 0 and a skew product over the index-3 degree lattice
type-transitive-a2-bh-via-rs-two-graph-full-groups	Embed a type-transitive vertex-free Ã₂ group in its Robertson–Steger 2-graph full group, use primitivity (from the type-transitive link argument) and aperiodicity (from H3), then Li–Matui
type-transitive-vertex-free-a2-groups-embed-in-fp-simple-groups	Every group acting freely, with finitely many orbits and not type-preservingly, by type rotating automorphisms on the vertices of a thick Ã₂ building embeds in a finitely presented simple group; this includes every CMSZ group and the vertex-regular lattices of the 65 exotic CMSZ buildings of order 3
undistorted-type-a-class-closure-and-qi-boone-higman	Groups undistorted in a type (A) actor quasi-isometrically embed in finitely presented simple groups, and this class is closed under products and finite extensions and contains punctured-sphere and genus-two mapping class groups
undistorted-type-a-class-closure-proof	Track word metrics through the Belk--Zaremsky quasi-retraction and Zaremsky's product and wreath constructions
unequal-radix-free-product-near-group-passes-both-germ-gates	For a free product of two finite groups of different orders, the least-significant-first mixed-radix enumeration has a finitely presented near shift group with finitely generated near-index kernel
unequal-radix-near-group-halves-are-tree-groups-that-are-not-fp	The unequal-radix near group is generated by two one-radix tree groups, each not finitely presented, glued by disjoint-support relations, so neither the tree kill nor an amalgam kill applies to it
unequal-radix-near-group-has-a-local-expanding-element	The A5*A6 unequal-radix near group contains an element supported in one root with local slope 59^2, which no equal-radix or tree-compatible near group contains
unimodular-cells-synchronize-under-edge-splits	Every unimodular cell inside a unimodular cell is a finite union of cells that are edge-split descendants of both
unimodular-dissection-operad-has-finite-type	The refinement poset of nontrivial unimodular dissections of the standard simplicial cone has a finite spine
